n_samples,alpha,mean_edges,mean_skeleton_precision,mean_skeleton_recall,mean_directed_recall,proxy_connection_rate,mean_elapsed_seconds
150,0.005,0.8333333333333334,1.0,0.27777777777777773,0.0,0.0,0.0036071951811512313
150,0.01,1.6666666666666667,1.0,0.5555555555555555,0.1111111111111111,0.0,0.0034237029030919075
150,0.05,2.1666666666666665,1.0,0.7222222222222222,0.2222222222222222,0.0,0.003604218518982331
150,0.1,2.5,1.0,0.8333333333333334,0.2222222222222222,0.0,0.0035338534507900476
300,0.005,2.0,1.0,0.6666666666666666,0.0,0.0,0.001931938420360287
300,0.01,2.1666666666666665,1.0,0.7222222222222222,0.0,0.0,0.0016527889917294185
300,0.05,3.0,0.9583333333333334,0.9444444444444443,0.05555555555555555,0.16666666666666666,0.0018112779750178258
300,0.1,3.1666666666666665,0.9333333333333332,0.9444444444444443,0.1111111111111111,0.16666666666666666,0.0020144762626538673
900,0.005,3.0,1.0,1.0,0.0,0.0,0.0017853223253041506
900,0.01,3.0,1.0,1.0,0.0,0.0,0.0016835757996886969
900,0.05,3.1666666666666665,0.9583333333333334,1.0,0.0,0.16666666666666666,0.0018699434585869312
900,0.1,3.3333333333333335,0.9166666666666666,1.0,0.0,0.3333333333333333,0.001921518084903558
