estimated_decile,users,mean_estimated_cate,mean_true_cate,analysis
1,156,-0.3711532383357862,-0.21416081490106464,Clean DRLearner
2,156,-0.13258540201046418,-0.05045782877772854,Clean DRLearner
3,156,0.0005857267006980331,0.05961584509188368,Clean DRLearner
4,156,0.14024527755884666,0.19054235150716464,Clean DRLearner
5,156,0.26848937079562646,0.31462627841128704,Clean DRLearner
6,156,0.3847966859450593,0.4333049380995179,Clean DRLearner
7,156,0.49845139792445337,0.5172631028254694,Clean DRLearner
8,156,0.6140376677538893,0.6312706227032924,Clean DRLearner
9,156,0.794389400421093,0.7604695988297355,Clean DRLearner
10,156,1.2603388998400433,1.0810159510248094,Clean DRLearner
1,156,-0.3700217142389793,-0.3116199738050914,Too-simple LinearDML
2,156,-0.08259938833806355,-0.06705499318133966,Too-simple LinearDML
3,156,0.06476137642818337,0.08039210970964215,Too-simple LinearDML
4,156,0.1937113048348685,0.18996836967078126,Too-simple LinearDML
5,156,0.3024225679303026,0.30752160447083193,Too-simple LinearDML
6,156,0.4066829661675481,0.400700311954028,Too-simple LinearDML
7,156,0.5153508729338446,0.5155054064203094,Too-simple LinearDML
8,156,0.6343257812651052,0.6557432881920272,Too-simple LinearDML
9,156,0.7757824919050282,0.8237269072766126,Too-simple LinearDML
10,156,1.0636976622890588,1.1286070141065654,Too-simple LinearDML
1,156,-0.02453616114305196,0.015877459645851275,Leaky CausalForestDML
2,156,-0.008882741463624982,0.14889691238313096,Leaky CausalForestDML
3,156,-0.0010311455302399301,0.2053707725089138,Leaky CausalForestDML
4,156,0.004278299873679143,0.24602482678137697,Leaky CausalForestDML
5,156,0.009331822879181982,0.3254583062010259,Leaky CausalForestDML
6,156,0.01350935725710861,0.39679460066529454,Leaky CausalForestDML
7,156,0.017604819091487294,0.43019344065745446,Leaky CausalForestDML
8,156,0.022424345124069302,0.5102712826233132,Leaky CausalForestDML
9,156,0.029285943256106728,0.5425549297513821,Leaky CausalForestDML
10,156,0.07746530317978624,0.9020475135966239,Leaky CausalForestDML
1,156,-0.03457151488325554,-0.2392616774133215,Post-treatment control
2,156,0.0656727595392969,-0.04793917935950488,Post-treatment control
3,156,0.13146505390391847,0.07241806456570014,Post-treatment control
4,156,0.19554455189193282,0.16490577025342135,Post-treatment control
5,156,0.25932302888626185,0.2909829649889045,Post-treatment control
6,156,0.3192235666055982,0.4320254189953692,Post-treatment control
7,156,0.39334484940335324,0.5019211503961938,Post-treatment control
8,156,0.48141395348244187,0.6532415602192433,Post-treatment control
9,156,0.5969170453983598,0.7896428062070432,Post-treatment control
10,156,0.8098531454075208,1.1055531659613178,Post-treatment control
