cate_decile,rows,estimated_cate,true_cate,treatment_rate,propensity_mean,estimator
1,112,-0.23851284753565774,-0.3053680065490317,0.39285714285714285,0.40372301851276504,LinearDML
2,112,0.0659238238943821,-0.007240241923939955,0.4375,0.4235741372186675,LinearDML
3,112,0.22929675721334916,0.16740156011589738,0.4375,0.45592887680719957,LinearDML
4,112,0.3555100456967484,0.2813495493078082,0.4732142857142857,0.4811452496273257,LinearDML
5,112,0.46008468048587703,0.4178676171579464,0.4642857142857143,0.48286813793665234,LinearDML
6,112,0.5723361274627962,0.5228923846952638,0.48214285714285715,0.4986019537459456,LinearDML
7,112,0.6811651479768699,0.6638005068581777,0.45535714285714285,0.5233561041091724,LinearDML
8,112,0.8120154529423532,0.8018089294693622,0.5178571428571429,0.5499091344796921,LinearDML
9,112,0.9832363057128332,0.9582061180772053,0.6071428571428571,0.5784348526788806,LinearDML
10,112,1.2820650058529786,1.2824802889669191,0.6071428571428571,0.604847449427465,LinearDML
1,112,-0.22745901095922336,-0.3147418623355966,0.39285714285714285,0.4045652385203842,SparseLinearDML
2,112,0.07306807490234944,0.0033648627974842095,0.41964285714285715,0.4290854343165488,SparseLinearDML
3,112,0.23699022764607688,0.16029000481097647,0.48214285714285715,0.4711078679106941,SparseLinearDML
4,112,0.3656279726080719,0.29143671837050883,0.4642857142857143,0.477595699696557,SparseLinearDML
5,112,0.4729888163843924,0.432170038785905,0.4732142857142857,0.48466399429298707,SparseLinearDML
6,112,0.5801931618879879,0.5010691175902379,0.4732142857142857,0.489055517165956,SparseLinearDML
7,112,0.692841716426753,0.6738891970734749,0.41964285714285715,0.5220139418762771,SparseLinearDML
8,112,0.8117267167267336,0.7890213904143725,0.5535714285714286,0.5338480610680849,SparseLinearDML
9,112,0.9845921915953703,0.9634102958690919,0.5803571428571429,0.578998952524877,SparseLinearDML
10,112,1.2806650357409364,1.2832889427991534,0.6160714285714286,0.6114542071713995,SparseLinearDML
