threshold,treatment_rate,treated_rows,true_policy_gain_vs_treat_none,true_total_policy_value,average_true_net_cate_among_treated_by_policy,share_selected_with_negative_true_net_cate
-0.15,0.9161904761904762,962,0.11018103092108976,2.388193195883432,0.12025996098455742,0.3908523908523909
-0.1,0.8276190476190476,869,0.13394552914483238,2.4119576941071745,0.16184442531884233,0.34062140391254314
-0.05,0.7371428571428571,774,0.14419162017396955,2.422203785136311,0.1956087870577106,0.30103359173126615
0.0,0.6533333333333333,686,0.14362296347455777,2.4216351284369,0.21983106654269052,0.2813411078717201
0.05,0.559047619047619,587,0.13975461499193048,2.417766779954272,0.24998696037738843,0.2572402044293015
0.1,0.4723809523809524,496,0.1282938031751689,2.4063059681375107,0.2715897043022728,0.2439516129032258
0.15,0.38476190476190475,404,0.11066981584468051,2.3886819808070228,0.2876319471210756,0.23267326732673269
0.2,0.30857142857142855,324,0.09172024803071246,2.369732412993055,0.29724154454397556,0.2222222222222222
0.25,0.24857142857142858,261,0.07298718882915907,2.3509993537915013,0.293626621726502,0.22988505747126436
0.3,0.2057142857142857,216,0.05718534322869099,2.3351975081910332,0.2779843073616923,0.24537037037037038
0.35,0.1619047619047619,170,0.0453626572877427,2.3233748222500847,0.2801811185419402,0.2235294117647059
